JOBID               USER                PARTITION           NAME                TIME_LEFT           EXEC_HOST           TRES_PER_NODE       TRES_ALLOC          
3128275             jargordo            bluemoon            completion          1-06:00:00          n/a                 N/A                 cpu=1,mem=1000M,node
3190364             jvanegas            bdgpu               run_stress0.sh      2-00:00:00          n/a                 gpu:8               cpu=48,mem=64G,node=
3190365             jvanegas            bdgpu               run_stress1.sh      2-00:00:00          n/a                 gpu:8               cpu=48,mem=64G,node=
3190363             jvanegas            bdgpu               run_stress1.sh      2-00:00:00          n/a                 gpu:8               cpu=48,mem=64G,node=
3190361             jvanegas            bdgpu               run_stress1.sh      2-00:00:00          n/a                 gpu:8               cpu=48,mem=64G,node=
3190362             jvanegas            bdgpu               run_stress0.sh      2-00:00:00          n/a                 gpu:8               cpu=48,mem=64G,node=
3190360             jvanegas            bdgpu               run_stress0.sh      2-00:00:00          n/a                 gpu:8               cpu=48,mem=64G,node=
3190366             jvanegas            bdgpu               run_stress0.sh      2-00:00:00          n/a                 gpu:8               cpu=48,mem=64G,node=
3190367             jvanegas            bdgpu               run_stress1.sh      2-00:00:00          n/a                 gpu:8               cpu=48,mem=64G,node=
3190370             jvanegas            bdgpu               run_stress0.sh      2-00:00:00          n/a                 gpu:8               cpu=48,mem=64G,node=
3190371             jvanegas            bdgpu               run_stress1.sh      2-00:00:00          n/a                 gpu:8               cpu=48,mem=64G,node=
3195498             mvarnold            bluemoon            realtime_update     2:30:00             n/a                 N/A                 cpu=12,mem=14G,node=
3194477             bpoudel             bdgpu               geo_opt.sh          2-00:00:00          n/a                 gpu:1               cpu=6,mem=12G,node=1
3049439             rschirem            week                EMIZAD              3-00:00:00          n/a                 N/A                 cpu=60,mem=32G,node=
3080822             rschirem            week                QURNIC              3-00:00:00          n/a                 N/A                 cpu=60,mem=32G,node=
3081529             rschirem            week                UKIBIB              3-00:00:00          n/a                 N/A                 cpu=60,mem=32G,node=
3082086             rschirem            week                QURNUO              3-00:00:00          n/a                 N/A                 cpu=60,mem=32G,node=
3085027             rschirem            week                QUHVEW              3-00:00:00          n/a                 N/A                 cpu=60,mem=32G,node=
3141151             rschirem            week                QEFWUV              3-00:00:00          n/a                 N/A                 cpu=60,mem=32G,node=
3145193             rschirem            week                QURPOK              3-00:00:00          n/a                 N/A                 cpu=60,mem=60G,node=
3192495             dmatthe1            bluemoon            GRAD_EVAL           12:00:00            n/a                 N/A                 cpu=12,mem=12000M,no
3193679             dmatthe1            short               DAMP_Grad_Eval      3:00:00             n/a                 N/A                 cpu=12,mem=12000M,no
3193738             dmatthe1            short               DAMP_Grad_Eval      3:00:00             n/a                 N/A                 cpu=10,mem=10000M,no
3192674             zsong1              bluemoon            freq_test           1-06:00:00          n/a                 N/A                 cpu=120,mem=240G,nod
3192675             zsong1              bluemoon            freq_test           1-06:00:00          n/a                 N/A                 cpu=120,mem=240G,nod
3192676             zsong1              bluemoon            freq_test           1-06:00:00          n/a                 N/A                 cpu=120,mem=240G,nod
3194520             zsong1              bluemoon            freq_test           1-06:00:00          n/a                 N/A                 cpu=120,mem=240G,nod
3194799             hbarghat            bigmem              19_nr.pbs           1-06:00:00          n/a                 N/A                 cpu=8,mem=950G,node=
3194798             hbarghat            bigmem              6_19_r.pbs          1-06:00:00          n/a                 N/A                 cpu=8,mem=950G,node=
3107670             nsnichol            bdgpu               dse_he              2-00:00:00          n/a                 N/A                 cpu=4,mem=16G,node=1
3193906             bwworthi            bluemoon            bcf_s               12:17:26            node251             N/A                 cpu=24,mem=100G,node
3195499             mvarnold            bluemoon            realtime_update     2:58:34             node216             N/A                 cpu=8,mem=10G,node=1
3142792             cvanoort            week                ABMMS               3-09:32:17          node474             N/A                 cpu=1,mem=8G,node=1,
3142793             cvanoort            week                ABMMS               3-09:32:17          node470             N/A                 cpu=1,mem=8G,node=1,
3142794             cvanoort            week                ABMMS               3-09:32:17          node470             N/A                 cpu=1,mem=8G,node=1,
3142795             cvanoort            week                ABMMS               3-09:32:17          node475             N/A                 cpu=1,mem=8G,node=1,
3142796             cvanoort            week                ABMMS               3-09:32:17          node473             N/A                 cpu=1,mem=8G,node=1,
3142797             cvanoort            week                ABMMS               3-09:32:17          node473             N/A                 cpu=1,mem=8G,node=1,
3142798             cvanoort            week                ABMMS               3-09:32:17          node471             N/A                 cpu=1,mem=8G,node=1,
3142799             cvanoort            week                ABMMS               3-09:32:17          node479             N/A                 cpu=1,mem=8G,node=1,
3142800             cvanoort            week                ABMMS               3-09:32:17          node479             N/A                 cpu=1,mem=8G,node=1,
3142801             cvanoort            week                ABMMS               3-09:32:17          node488             N/A                 cpu=1,mem=8G,node=1,
3142802             cvanoort            week                ABMMS               3-09:32:17          node481             N/A                 cpu=1,mem=8G,node=1,
3142803             cvanoort            week                ABMMS               3-09:32:17          node482             N/A                 cpu=1,mem=8G,node=1,
3142804             cvanoort            week                ABMMS               3-09:32:17          node485             N/A                 cpu=1,mem=8G,node=1,
3142805             cvanoort            week                ABMMS               3-09:32:17          node485             N/A                 cpu=1,mem=8G,node=1,
3142806             cvanoort            week                ABMMS               3-09:32:17          node493             N/A                 cpu=1,mem=8G,node=1,
3142807             cvanoort            week                ABMMS               3-09:32:17          node478             N/A                 cpu=1,mem=8G,node=1,
3142808             cvanoort            week                ABMMS               3-09:32:17          node486             N/A                 cpu=1,mem=8G,node=1,
3142809             cvanoort            week                ABMMS               3-09:32:17          node486             N/A                 cpu=1,mem=8G,node=1,
3142810             cvanoort            week                ABMMS               3-09:32:17          node492             N/A                 cpu=1,mem=8G,node=1,
3142811             cvanoort            week                ABMMS               3-09:32:17          node477             N/A                 cpu=1,mem=8G,node=1,
3142813             cvanoort            week                ABMMS               3-09:32:17          node472             N/A                 cpu=1,mem=8G,node=1,
3142814             cvanoort            week                ABMMS               3-09:32:17          node472             N/A                 cpu=1,mem=8G,node=1,
3142815             cvanoort            week                ABMMS               3-09:32:17          node476             N/A                 cpu=1,mem=8G,node=1,
